Date,Mean_Wind_Speed,Wind_Direction,Average_Humidity,Average_Temperature,Minimum_Temperature,MaximumTemperature,Structure_Length,Latitude,Longitude,BridgeAge,AverageDailyTraffic,TotalPrecipitation,Mean_TOW,Mean_PH,Mean_Cl-,Mean_Annual_Corrosion_Rate
1/1/2025,19.95064,213.6971,47.69358,15.09808,-19.32105,49.51721,1000,34.76984,-84.03099,25,3859,663.1113,80,9.27,80.66,358.39
1/2/2025,11.05233,213.6971,45.62146,8.552065,-12.46641,29.57054,1000,34.76984,-84.03099,25,3859,633.0217,41,3.97,3.59,40.49
1/3/2025,15.42951,73.1544,46.20515,15.44273,-18.06157,48.94703,1000,34.76984,-84.03099,25,4998,658.3365,26,0.7,81.62,100.15
1/4/2025,6.533381,253.121,33.85609,14.33683,-19.1182,47.79185,1000,34.76984,-84.03099,25,4998,466.5825,70,5.2,131.26,212.86
1/5/2025,5.802122,185.208,45.80666,12.60407,-18.93358,44.14172,1000,34.76984,-84.03099,25,1383,519.0128,86,6.12,52.82,344.12
1/6/2025,4.457085,11.12743,56.1324,11.48289,-19.25806,42.22385,1000,34.76984,-84.03099,25,1383,362.0637,15,3.65,113.34,102.41
1/7/2025,18.86799,30.40398,43.38799,14.285,-18.67546,47.24547,1000,34.76984,-84.03099,25,6970,614.9788,61,9.17,124.69,263.37
1/8/2025,8.127951,69.02924,44.18996,15.7779,-17.49305,49.04886,1000,34.76984,-84.03099,25,6970,146.2608,86,3.56,101.9,351.44
1/9/2025,15.37615,75.61855,60.85234,15.67176,-15.84683,47.19036,1000,34.76984,-84.03099,25,6970,366.6584,53,1.63,189.74,124.74
1/10/2025,6.767415,20.93119,40.64885,2.842241,-17.90324,23.58772,1000,34.76984,-84.03099,25,6120,425.1798,10,3.75,42.27,275.13
1/11/2025,5.215773,158.7087,53.87774,15.3757,-18.84118,49.59258,1000,34.76984,-84.03099,25,6120,605.459,64,4.62,89.47,271.05
1/12/2025,9.017881,90.65637,42.82553,11.8204,-13.02303,36.66382,1000,34.76984,-84.03099,25,2424,383.3947,71,3.29,53.93,162.28
