Date,Mean_Wind_Speed,Wind_Direction,Average_Humidity,Average_Temperature,Minimum_Temperature,MaximumTemperature,Structure_Length,Latitude,Longitude,BridgeAge,AverageDailyTraffic,TotalPrecipitation,Mean_TOW,Mean_PH,Mean_Cl-,Mean_Annual_Corrosion_Rate,CorrosionDepth,AnnualRate,Wind-Induced Vibrations,Traffic Load,Structural Health,Vibration Risk,Corrosion Risk,Traffic Load Percentage,Traffic Load Risk,Structural Health Risk
1/1/2025,19.95064,213.6971,47.69358,15.09808,-19.32105,49.51721,1000,34.76984,-84.03099,25,3859,663.1113,80,9.27,80.66,358.39,3.686519178620037,1.519605975331971,-11.068661312699671,3859000,97.71425046994034,Low,High,38.62862862862863,Critical,Good
1/2/2025,11.05233,213.6971,45.62146,8.552065,-12.46641,29.57054,1000,34.76984,-84.03099,25,3859,633.0217,41,3.97,3.59,40.49,3.0779802410570847,1.0885130981712823,-6.131858300595367,3859000,96.8562177306677,Low,Moderate,38.62862862862863,Critical,Fair
1/3/2025,15.42951,73.1544,46.20515,15.44273,-18.06157,48.94703,1000,34.76984,-84.03099,25,4998,658.3365,26,0.7,81.62,100.15,3.1959698674615353,1.3739524163746615,14.767416805111958,4998000,92.13513091406521,Critical,High,50.03003003003003,Critical,Critical
1/4/2025,6.533381,253.121,33.85609,14.33683,-19.1182,47.79185,1000,34.76984,-84.03099,25,4998,466.5825,70,5.2,131.26,212.86,3.4600995570738613,1.3220504087977525,-6.251923388873505,4998000,96.35456955513537,Low,High,50.03003003003003,Critical,Fair
1/5/2025,5.802122,185.208,45.80666,12.60407,-18.93358,44.14172,1000,34.76984,-84.03099,25,1383,519.0128,86,6.12,52.82,344.12,5.912012621843363,1.9595811825473144,-0.5266680772454538,1383000,96.4642592606849,Moderate,Critical,13.843843843843844,High,Fair
1/6/2025,4.457085,11.12743,56.1324,11.48289,-19.25806,42.22385,1000,34.76984,-84.03099,25,1383,362.0637,15,3.65,113.34,102.41,3.640920317159405,1.2044475218299278,0.8601805548811148,1383000,96.4134296324748,High,Moderate,13.843843843843844,High,Fair
1/7/2025,18.86799,30.40398,43.38799,14.285,-18.67546,47.24547,1000,34.76984,-84.03099,25,6970,614.9788,61,9.17,124.69,263.37,4.100987816823966,1.2839103392738538,9.54897042990034,6970000,92.41703281223778,Critical,Moderate,69.76976976976978,Critical,Critical
1/8/2025,8.127951,69.02924,44.18996,15.7779,-17.49305,49.04886,1000,34.76984,-84.03099,25,6970,146.2608,86,3.56,101.9,351.44,3.215750910753302,1.4350058181094059,7.589581473146474,6970000,92.76358195993788,Critical,High,69.76976976976978,Critical,Critical
1/9/2025,15.37615,75.61855,60.85234,15.67176,-15.84683,47.19036,1000,34.76984,-84.03099,25,6970,366.6584,53,1.63,189.74,124.74,5.001220323996891,1.6883634962839786,14.894317210579075,6970000,91.22662750899899,Critical,Critical,69.76976976976978,Critical,Critical
1/10/2025,6.767415,20.93119,40.64885,2.842241,-17.90324,23.58772,1000,34.76984,-84.03099,25,6120,425.1798,10,3.75,42.27,275.13,1.8629219757008226,0.8119893112849608,2.4176353068226994,6120000,94.32487614524997,High,Low,61.261261261261254,Critical,Critical
